"spid","CCNAME","DNAME","CLNAME","EFEACODE","TOTAL","HH","COORD_X","COORD_Y"
19,"Grand Bassa","District # 2","Marblee","0906001012",757,136,-9.93918610939474,6.32030588111818
20,"Grand Bassa","District # 3","Dohnwein","0914006022",360,97,-9.74014558412459,6.34813714651648
20,"Grand Bassa","District # 2","Gogowein","0906006062",702,133,-9.80305053345397,6.31844007317027
20,"Grand Bassa","District # 3","Dohnwein","0914006032",404,98,-9.74076294509266,6.31149818507254
21,"Grand Bassa","District # 3","Deegba","0914007072",1036,248,-9.64551827649285,6.38313718641206
21,"Grand Bassa","District # 3","Deegba","0914007042",507,95,-9.57985398547972,6.3521178030846
21,"Grand Bassa","District # 3","Deegba","0914007052",1482,334,-9.63129383153691,6.31464614561526
22,"Grand Bassa","District # 3","Gbaniee","0914012042",462,85,-9.38657479519563,6.38420598093746
22,"Grand Bassa","District # 3","Pay-U-Way","0914013042",825,100,-9.45410777066655,6.39637927158707
22,"Grand Bassa","District # 3","Gbayah","0914009022",382,94,-9.46480108319647,6.33020338865094
23,"Grand Bassa","District # 1","Gozohn","0904007022",689,132,-10.1530734523002,6.49153015804
23,"Grand Bassa","District # 1","Mehwein","0904009012",384,97,-10.197203118085,6.46549809039073
23,"Grand Bassa","District # 1","Mehwein","0904009022",330,85,-10.1749635332939,6.43852142331376
24,"Grand Bassa","District # 2","Chan","0906010042",275,59,-9.83288459699234,6.52203796871009
24,"Grand Bassa","District # 2","Gogowein","0906006012",584,134,-9.8459872704253,6.46175558065729
24,"Grand Bassa","District # 2","Gogowein","0906006022",421,94,-9.83948089606819,6.42071284678732
25,"Grand Bassa","District # 2","Boeglayn","0906007032",801,144,-9.70096948614377,6.50882986482142
25,"Grand Bassa","District # 2","Boeglayn","0906007042",550,97,-9.75730026328071,6.48295585155926
25,"Grand Bassa","District # 2","Boeglayn","0906007052",500,93,-9.73277823362974,6.43166583400076
26,"Grand Bassa","District # 3","Pay-U-Way","0914013012",1080,183,-9.48717554293547,6.48875867172817
26,"Grand Bassa","District # 3","Pay-U-Way","0914013022",706,142,-9.49329406763719,6.47011252849025
26,"Grand Bassa","District # 3","Deegba","0914007012",364,81,-9.56158041546129,6.44725804285264
27,"Grand Bassa","District # 3","Gbaniee","0914012012",627,123,-9.35647281329135,6.5278433010155
27,"Grand Bassa","District # 3","Gbaniee","0914012032",635,107,-9.41558890169739,6.48821642596632
27,"Grand Bassa","District # 3","Jeuwein","0914010012",324,88,-9.32485356546914,6.4478924176362
28,"Grand Bassa","District # 3","Norwein","0914011012",617,154,-9.18296076383325,6.55637324490272
28,"Grand Bassa","District # 3","Norwein","0914011022",614,154,-9.24222204369103,6.50374212026213
28,"Grand Bassa","District # 3","Jeuwein","0914010022",461,1,-9.25323600583101,6.40382462893821
29,"Grand Bassa","District # 2","Gbor","0906008052",366,75,-9.81201657521617,6.63707014059139
29,"Grand Bassa","District # 2","Chan","0906010032",1349,284,-9.76513532908603,6.60274623532442
29,"Grand Bassa","District # 2","Chan","0906010022",293,48,-9.77053744629304,6.61404847437232
30,"Grand Bassa","District # 2","Jungle","0906009022",529,114,-9.69090626636635,6.63231160053239
30,"Grand Bassa","District # 2","Jungle","0906009032",282,66,-9.70086803151374,6.60319884811447
30,"Grand Bassa","District # 2","Boeglayn","0906007022",646,97,-9.63835881905251,6.57768078406023
